participant,blockcode,trialnum,correct,latency1,stimoli,categorie,Condition,latency.cor,blocco,block,latency
1,Whitebad,109,1,1004,ridere,Positivo,inc,1004,test_inc6,testWhitebad,1004
1,Whitebad,111,1,1173,bf23,NeroFemmina,inc,1173,test_inc6,testWhitebad,1173
1,Whitebad,113,1,1032,terribile,Negativo,inc,1032,test_inc6,testWhitebad,1032
1,Whitebad,115,1,1673,wm6,BiancoMaschio,inc,1673,test_inc6,testWhitebad,1673
1,Whitebad,117,1,1392,fallimento,Negativo,inc,1392,test_inc6,testWhitebad,1392
1,Whitebad,119,1,906,bm23,NeroMaschio,inc,906,test_inc6,testWhitebad,906
1,Whitebad,121,1,1224,orribile,Negativo,inc,1224,test_inc6,testWhitebad,1224
2,Whitegood,2,1,1362,orribile,Negativo,comp,1362,prova_comp5,practiceWhitegood,1362
2,Whitegood,4,1,709,wf2,BiancoFem,comp,709,prova_comp5,practiceWhitegood,709
2,Whitegood,6,1,706,dolore,Negativo,comp,706,prova_comp5,practiceWhitegood,706
2,Whitegood,8,1,528,wf6,BiancoFem,comp,528,prova_comp5,practiceWhitegood,528
2,Whitegood,10,1,621,terribile,Negativo,comp,621,prova_comp5,practiceWhitegood,621
2,Whitegood,12,1,598,bf14,NeroFemmina,comp,598,prova_comp5,practiceWhitegood,598
2,Whitegood,14,1,480,gioia,Positivo,comp,480,prova_comp5,practiceWhitegood,480
2,Whitegood,16,1,518,bf56,NeroFemmina,comp,518,prova_comp5,practiceWhitegood,518
2,Whitegood,18,1,507,male,Negativo,comp,507,prova_comp5,practiceWhitegood,507
2,Whitegood,20,1,432,bm23,NeroMaschio,comp,432,prova_comp5,practiceWhitegood,432
2,Whitegood,22,1,528,fallimento,Negativo,comp,528,prova_comp5,practiceWhitegood,528
2,Whitegood,24,1,485,wm4,BiancoMaschio,comp,485,prova_comp5,practiceWhitegood,485
2,Whitegood,26,1,435,amore,Positivo,comp,435,prova_comp5,practiceWhitegood,435
2,Whitegood,28,1,507,bm14,NeroMaschio,comp,507,prova_comp5,practiceWhitegood,507
2,Whitegood,30,1,633,odio,Negativo,comp,633,prova_comp5,practiceWhitegood,633
2,Whitegood,32,1,521,wf3,BiancoFem,comp,521,prova_comp5,practiceWhitegood,521
2,Whitegood,34,1,1038,cattivo,Negativo,comp,1038,prova_comp5,practiceWhitegood,1038
2,Whitegood,36,1,470,bm56,NeroMaschio,comp,470,prova_comp5,practiceWhitegood,470
2,Whitegood,38,1,645,fastidioso,Negativo,comp,645,prova_comp5,practiceWhitegood,645
2,Whitegood,40,1,476,wm6,BiancoMaschio,comp,476,prova_comp5,practiceWhitegood,476
2,Whitegood,43,1,798,wm1,BiancoMaschio,comp,798,test_comp5,testWhitegood,798
2,Whitegood,45,1,504,piacere,Positivo,comp,504,test_comp5,testWhitegood,504
2,Whitegood,47,1,478,bf23,NeroFemmina,comp,478,test_comp5,testWhitegood,478
2,Whitegood,49,1,564,pace,Positivo,comp,564,test_comp5,testWhitegood,564
2,Whitegood,51,1,479,wf3,BiancoFem,comp,479,test_comp5,testWhitegood,479
2,Whitegood,53,1,550,dolore,Negativo,comp,550,test_comp5,testWhitegood,550
2,Whitegood,55,1,402,bf23,NeroFemmina,comp,402,test_comp5,testWhitegood,402
2,Whitegood,57,1,427,fallimento,Negativo,comp,427,test_comp5,testWhitegood,427
2,Whitegood,59,1,436,wm1,BiancoMaschio,comp,436,test_comp5,testWhitegood,436
2,Whitegood,61,1,516,terribile,Negativo,comp,516,test_comp5,testWhitegood,516
2,Whitegood,63,1,457,bf14,NeroFemmina,comp,457,test_comp5,testWhitegood,457
2,Whitegood,65,1,537,male,Negativo,comp,537,test_comp5,testWhitegood,537
2,Whitegood,67,1,429,wm4,BiancoMaschio,comp,429,test_comp5,testWhitegood,429
2,Whitegood,69,1,405,gloria,Positivo,comp,405,test_comp5,testWhitegood,405
2,Whitegood,71,1,423,bm56,NeroMaschio,comp,423,test_comp5,testWhitegood,423
2,Whitegood,73,1,496,ridere,Positivo,comp,496,test_comp5,testWhitegood,496
2,Whitegood,75,1,765,bf56,NeroFemmina,comp,765,test_comp5,testWhitegood,765
2,Whitegood,77,1,472,fastidioso,Negativo,comp,472,test_comp5,testWhitegood,472
2,Whitegood,79,1,431,bm14,NeroMaschio,comp,431,test_comp5,testWhitegood,431
2,Whitegood,81,1,488,buono,Positivo,comp,488,test_comp5,testWhitegood,488
2,Whitegood,83,1,605,bm23,NeroMaschio,comp,605,test_comp5,testWhitegood,605
2,Whitegood,85,1,503,felicità,Positivo,comp,503,test_comp5,testWhitegood,503
2,Whitegood,87,1,580,bm23,NeroMaschio,comp,580,test_comp5,testWhitegood,580
2,Whitegood,89,1,487,pace,Positivo,comp,487,test_comp5,testWhitegood,487
2,Whitegood,91,1,502,bf56,NeroFemmina,comp,502,test_comp5,testWhitegood,502
2,Whitegood,93,1,452,buono,Positivo,comp,452,test_comp5,testWhitegood,452
2,Whitegood,95,1,579,wm6,BiancoMaschio,comp,579,test_comp5,testWhitegood,579
2,Whitegood,97,1,582,orribile,Negativo,comp,582,test_comp5,testWhitegood,582
2,Whitegood,99,1,528,wf2,BiancoFem,comp,528,test_comp5,testWhitegood,528
2,Whitegood,101,1,645,ridere,Positivo,comp,645,test_comp5,testWhitegood,645
2,Whitegood,103,1,436,wf6,BiancoFem,comp,436,test_comp5,testWhitegood,436
2,Whitegood,105,1,389,felicità,Positivo,comp,389,test_comp5,testWhitegood,389
2,Whitegood,107,1,447,wm6,BiancoMaschio,comp,447,test_comp5,testWhitegood,447
2,Whitegood,109,1,391,gioia,Positivo,comp,391,test_comp5,testWhitegood,391
2,Whitegood,111,1,361,wm1,BiancoMaschio,comp,361,test_comp5,testWhitegood,361
2,Whitegood,113,1,365,piacere,Positivo,comp,365,test_comp5,testWhitegood,365
2,Whitegood,115,1,495,bm56,NeroMaschio,comp,495,test_comp5,testWhitegood,495
2,Whitegood,117,1,462,gloria,Positivo,comp,462,test_comp5,testWhitegood,462
2,Whitegood,119,1,373,wm4,BiancoMaschio,comp,373,test_comp5,testWhitegood,373
2,Whitegood,121,1,472,cattivo,Negativo,comp,472,test_comp5,testWhitegood,472
2,Whitebad,2,1,1525,fallimento,Negativo,inc,1525,prova_inc7,practiceWhitebad,1525
2,Whitebad,4,1,1233,wm4,BiancoMaschio,inc,1233,prova_inc7,practiceWhitebad,1233
2,Whitebad,6,0,1090,dolore,Negativo,inc,2520,prova_inc7,practiceWhitebad,2520
2,Whitebad,9,1,902,bm56,NeroMaschio,inc,902,prova_inc7,practiceWhitebad,902
2,Whitebad,11,1,581,felicità,Positivo,inc,581,prova_inc7,practiceWhitebad,581
2,Whitebad,13,1,471,bm14,NeroMaschio,inc,471,prova_inc7,practiceWhitebad,471
2,Whitebad,15,0,494,cattivo,Negativo,inc,1728,prova_inc7,practiceWhitebad,1728
2,Whitebad,18,1,945,bf14,NeroFemmina,inc,945,prova_inc7,practiceWhitebad,945
2,Whitebad,20,1,1422,odio,Negativo,inc,1422,prova_inc7,practiceWhitebad,1422
2,Whitebad,22,1,1239,wf3,BiancoFem,inc,1239,prova_inc7,practiceWhitebad,1239
2,Whitebad,24,1,1599,gloria,Positivo,inc,1599,prova_inc7,practiceWhitebad,1599
2,Whitebad,26,1,785,wf6,BiancoFem,inc,785,prova_inc7,practiceWhitebad,785
2,Whitebad,28,1,1996,ridere,Positivo,inc,1996,prova_inc7,practiceWhitebad,1996
2,Whitebad,30,1,1038,bm23,NeroMaschio,inc,1038,prova_inc7,practiceWhitebad,1038
2,Whitebad,32,1,966,terribile,Negativo,inc,966,prova_inc7,practiceWhitebad,966
2,Whitebad,34,1,1001,wm6,BiancoMaschio,inc,1001,prova_inc7,practiceWhitebad,1001
2,Whitebad,36,1,1203,amore,Positivo,inc,1203,prova_inc7,practiceWhitebad,1203
2,Whitebad,38,1,781,bf23,NeroFemmina,inc,781,prova_inc7,practiceWhitebad,781
2,Whitebad,40,1,695,fastidioso,Negativo,inc,695,prova_inc7,practiceWhitebad,695
2,Whitebad,42,1,885,bf56,NeroFemmina,inc,885,prova_inc7,practiceWhitebad,885
2,Whitebad,45,1,1251,bf23,NeroFemmina,inc,1251,test_inc7,testWhitebad,1251
2,Whitebad,47,1,571,piacere,Positivo,inc,571,test_inc7,testWhitebad,571
2,Whitebad,49,1,502,bm56,NeroMaschio,inc,502,test_inc7,testWhitebad,502
2,Whitebad,51,1,523,orribile,Negativo,inc,523,test_inc7,testWhitebad,523
2,Whitebad,53,1,568,bm23,NeroMaschio,inc,568,test_inc7,testWhitebad,568
2,Whitebad,55,1,459,pace,Positivo,inc,459,test_inc7,testWhitebad,459
2,Whitebad,57,1,522,wm1,BiancoMaschio,inc,522,test_inc7,testWhitebad,522
2,Whitebad,59,0,759,male,Negativo,inc,1384,test_inc7,testWhitebad,1384
2,Whitebad,62,1,1001,bf14,NeroFemmina,inc,1001,test_inc7,testWhitebad,1001
2,Whitebad,64,1,506,gioia,Positivo,inc,506,test_inc7,testWhitebad,506
2,Whitebad,66,1,608,wf2,BiancoFem,inc,608,test_inc7,testWhitebad,608
2,Whitebad,68,0,1977,buono,Positivo,inc,2708,test_inc7,testWhitebad,2708
2,Whitebad,71,1,1335,wm1,BiancoMaschio,inc,1335,test_inc7,testWhitebad,1335
2,Whitebad,73,1,1332,gioia,Positivo,inc,1332,test_inc7,testWhitebad,1332
2,Whitebad,75,1,744,wf6,BiancoFem,inc,744,test_inc7,testWhitebad,744
2,Whitebad,77,1,1124,male,Negativo,inc,1124,test_inc7,testWhitebad,1124
2,Whitebad,79,1,1201,wf3,BiancoFem,inc,1201,test_inc7,testWhitebad,1201
2,Whitebad,81,0,651,piacere,Positivo,inc,1299,test_inc7,testWhitebad,1299
2,Whitebad,84,1,863,bf56,NeroFemmina,inc,863,test_inc7,testWhitebad,863
2,Whitebad,86,1,655,felicità,Positivo,inc,655,test_inc7,testWhitebad,655
2,Whitebad,88,1,999,wm4,BiancoMaschio,inc,999,test_inc7,testWhitebad,999
2,Whitebad,90,1,2025,gloria,Positivo,inc,2025,test_inc7,testWhitebad,2025
2,Whitebad,92,1,1017,wm6,BiancoMaschio,inc,1017,test_inc7,testWhitebad,1017
2,Whitebad,94,1,1003,terribile,Negativo,inc,1003,test_inc7,testWhitebad,1003
2,Whitebad,96,1,684,bm14,NeroMaschio,inc,684,test_inc7,testWhitebad,684
2,Whitebad,98,1,1003,fallimento,Negativo,inc,1003,test_inc7,testWhitebad,1003
2,Whitebad,100,1,860,bm14,NeroMaschio,inc,860,test_inc7,testWhitebad,860
2,Whitebad,102,1,716,dolore,Negativo,inc,716,test_inc7,testWhitebad,716
2,Whitebad,104,1,929,wf2,BiancoFem,inc,929,test_inc7,testWhitebad,929
2,Whitebad,106,1,670,pace,Positivo,inc,670,test_inc7,testWhitebad,670
2,Whitebad,108,1,1045,wm6,BiancoMaschio,inc,1045,test_inc7,testWhitebad,1045
2,Whitebad,110,0,525,buono,Positivo,inc,1117,test_inc7,testWhitebad,1117
2,Whitebad,113,1,1122,wf2,BiancoFem,inc,1122,test_inc7,testWhitebad,1122
2,Whitebad,115,1,1415,fastidioso,Negativo,inc,1415,test_inc7,testWhitebad,1415
2,Whitebad,117,1,1328,bf23,NeroFemmina,inc,1328,test_inc7,testWhitebad,1328
2,Whitebad,119,1,909,cattivo,Negativo,inc,909,test_inc7,testWhitebad,909
2,Whitebad,121,1,1330,wm4,BiancoMaschio,inc,1330,test_inc7,testWhitebad,1330
2,Whitebad,123,1,871,ridere,Positivo,inc,871,test_inc7,testWhitebad,871
2,Whitebad,125,1,654,bf14,NeroFemmina,inc,654,test_inc7,testWhitebad,654
2,Whitebad,127,1,1046,odio,Negativo,inc,1046,test_inc7,testWhitebad,1046
3,Whitegood,2,1,1028,amore,Positivo,comp,1028,prova_comp4,practiceWhitegood,1028
3,Whitegood,4,1,1372,bf14,NeroFemmina,comp,1372,prova_comp4,practiceWhitegood,1372
3,Whitegood,6,1,1119,fastidioso,Negativo,comp,1119,prova_comp4,practiceWhitegood,1119
3,Whitegood,8,1,820,bm23,NeroMaschio,comp,820,prova_comp4,practiceWhitegood,820
3,Whitegood,10,1,982,dolore,Negativo,comp,982,prova_comp4,practiceWhitegood,982
3,Whitegood,12,1,856,wm4,BiancoMaschio,comp,856,prova_comp4,practiceWhitegood,856
3,Whitegood,14,1,1248,terribile,Negativo,comp,1248,prova_comp4,practiceWhitegood,1248
3,Whitegood,16,1,895,wf2,BiancoFem,comp,895,prova_comp4,practiceWhitegood,895
3,Whitegood,18,1,958,buono,Positivo,comp,958,prova_comp4,practiceWhitegood,958
3,Whitegood,20,1,825,bm56,NeroMaschio,comp,825,prova_comp4,practiceWhitegood,825
3,Whitegood,22,1,834,odio,Negativo,comp,834,prova_comp4,practiceWhitegood,834
3,Whitegood,24,1,843,bm14,NeroMaschio,comp,843,prova_comp4,practiceWhitegood,843
3,Whitegood,26,1,675,piacere,Positivo,comp,675,prova_comp4,practiceWhitegood,675
3,Whitegood,28,1,713,bf56,NeroFemmina,comp,713,prova_comp4,practiceWhitegood,713
3,Whitegood,30,1,687,pace,Positivo,comp,687,prova_comp4,practiceWhitegood,687
3,Whitegood,32,1,733,wm6,BiancoMaschio,comp,733,prova_comp4,practiceWhitegood,733
3,Whitegood,34,0,753,felicità,Positivo,comp,1220,prova_comp4,practiceWhitegood,1220
3,Whitegood,37,1,865,wm1,BiancoMaschio,comp,865,prova_comp4,practiceWhitegood,865
3,Whitegood,39,1,824,gloria,Positivo,comp,824,prova_comp4,practiceWhitegood,824
3,Whitegood,41,1,537,wf6,BiancoFem,comp,537,prova_comp4,practiceWhitegood,537
3,Whitegood,44,1,842,bf23,NeroFemmina,comp,842,test_comp4,testWhitegood,842
3,Whitegood,46,1,666,ridere,Positivo,comp,666,test_comp4,testWhitegood,666
3,Whitegood,48,1,521,wf3,BiancoFem,comp,521,test_comp4,testWhitegood,521
3,Whitegood,50,1,518,gioia,Positivo,comp,518,test_comp4,testWhitegood,518
3,Whitegood,52,1,475,wf3,BiancoFem,comp,475,test_comp4,testWhitegood,475
3,Whitegood,54,1,690,fallimento,Negativo,comp,690,test_comp4,testWhitegood,690
3,Whitegood,56,1,552,wm6,BiancoMaschio,comp,552,test_comp4,testWhitegood,552
3,Whitegood,58,1,451,felicità,Positivo,comp,451,test_comp4,testWhitegood,451
3,Whitegood,60,1,643,bf56,NeroFemmina,comp,643,test_comp4,testWhitegood,643
3,Whitegood,62,1,747,orribile,Negativo,comp,747,test_comp4,testWhitegood,747
3,Whitegood,64,1,527,wm1,BiancoMaschio,comp,527,test_comp4,testWhitegood,527
3,Whitegood,66,1,524,cattivo,Negativo,comp,524,test_comp4,testWhitegood,524
3,Whitegood,68,1,480,bm14,NeroMaschio,comp,480,test_comp4,testWhitegood,480
3,Whitegood,70,1,471,pace,Positivo,comp,471,test_comp4,testWhitegood,471
3,Whitegood,72,1,534,wm4,BiancoMaschio,comp,534,test_comp4,testWhitegood,534
3,Whitegood,74,1,538,gioia,Positivo,comp,538,test_comp4,testWhitegood,538
3,Whitegood,76,1,455,bm56,NeroMaschio,comp,455,test_comp4,testWhitegood,455
3,Whitegood,78,1,494,male,Negativo,comp,494,test_comp4,testWhitegood,494
3,Whitegood,80,1,372,wf2,BiancoFem,comp,372,test_comp4,testWhitegood,372
3,Whitegood,82,0,471,male,Negativo,comp,794,test_comp4,testWhitegood,794
3,Whitegood,85,1,551,bf14,NeroFemmina,comp,551,test_comp4,testWhitegood,551
3,Whitegood,87,1,487,piacere,Positivo,comp,487,test_comp4,testWhitegood,487
3,Whitegood,89,1,525,bm23,NeroMaschio,comp,525,test_comp4,testWhitegood,525
3,Whitegood,91,1,546,buono,Positivo,comp,546,test_comp4,testWhitegood,546
3,Whitegood,93,1,541,wf6,BiancoFem,comp,541,test_comp4,testWhitegood,541
3,Whitegood,95,1,489,dolore,Negativo,comp,489,test_comp4,testWhitegood,489
3,Whitegood,97,1,519,bf23,NeroFemmina,comp,519,test_comp4,testWhitegood,519
3,Whitegood,99,1,469,fallimento,Negativo,comp,469,test_comp4,testWhitegood,469
3,Whitegood,101,1,499,wf6,BiancoFem,comp,499,test_comp4,testWhitegood,499
3,Whitegood,103,1,649,ridere,Positivo,comp,649,test_comp4,testWhitegood,649
3,Whitegood,105,1,520,wf3,BiancoFem,comp,520,test_comp4,testWhitegood,520
3,Whitegood,107,1,517,fastidioso,Negativo,comp,517,test_comp4,testWhitegood,517
3,Whitegood,109,1,474,bf23,NeroFemmina,comp,474,test_comp4,testWhitegood,474
3,Whitegood,111,1,449,amore,Positivo,comp,449,test_comp4,testWhitegood,449
3,Whitegood,113,1,473,bf14,NeroFemmina,comp,473,test_comp4,testWhitegood,473
3,Whitegood,115,1,584,cattivo,Negativo,comp,584,test_comp4,testWhitegood,584
3,Whitegood,117,1,434,bm56,NeroMaschio,comp,434,test_comp4,testWhitegood,434
3,Whitegood,119,1,714,odio,Negativo,comp,714,test_comp4,testWhitegood,714
3,Whitegood,121,1,820,wm1,BiancoMaschio,comp,820,test_comp4,testWhitegood,820
